T,n,rows,repeats,avg_ns,avg_ms,total_ratio,per_token_ns,path
1,11008,512,3,10685428,10.685,1.000,10685428,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,512,3,21398930,21.399,2.003,10699465,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,512,3,42742126,42.742,4.000,10685531,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,512,3,85392165,85.392,7.991,10674021,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,512,3,170899377,170.899,15.994,10681211,ggml_vec_dot_q4_0_q8_0_nrc1
