T,n,rows,repeats,avg_ns,avg_ms,total_ratio,per_token_ns,path
1,11008,128,3,2553558,2.554,1.000,2553558,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,128,3,5101797,5.102,1.998,2550899,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,128,3,10203420,10.203,3.996,2550855,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,128,3,20392307,20.392,7.986,2549038,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,128,3,40854121,40.854,15.999,2553383,ggml_vec_dot_q4_0_q8_0_nrc1
