T,n,rows,repeats,avg_ns,avg_ms,total_ratio,per_token_ns,path
1,11008,32,3,747528,0.748,1.000,747528,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,32,3,1499103,1.499,2.005,749551,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,32,3,3050559,3.051,4.081,762640,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,32,3,6000918,6.001,8.028,750115,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,32,3,11999890,12.000,16.053,749993,ggml_vec_dot_q4_0_q8_0_nrc1
