T,n,rows,repeats,avg_ns,avg_ms,total_ratio,per_token_ns,path
1,11008,2048,3,43740035,43.740,1.000,43740035,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,2048,3,90626250,90.626,2.072,45313125,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,2048,3,175159329,175.159,4.005,43789832,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,2048,3,350113024,350.113,8.004,43764128,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,2048,3,444285557,444.286,10.157,27767847,ggml_vec_dot_q4_0_q8_0_nrc1
