T,n,rows,repeats,avg_ns,avg_ms,total_ratio,per_token_ns,path
1,11008,512,5,6686589,6.687,1.000,6686589,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,512,5,13365211,13.365,1.999,6682605,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,512,5,26686450,26.686,3.991,6671612,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,512,5,53417539,53.418,7.989,6677192,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,512,5,106786339,106.786,15.970,6674146,ggml_vec_dot_q4_0_q8_0_nrc1
